loan_status,gender,income,home_ownership,loan_amount,loan_interest_rate,previous_loan
Declined,female,241167,MORTGAGE,28000,11.01,Yes
Declined,male,241060,MORTGAGE,25000,13.99,No
Declined,male,240855,MORTGAGE,24000,7.49,Yes
Declined,male,241030,MORTGAGE,15000,14.79,Yes
Declined,male,240895,MORTGAGE,15500,11.99,No
Declined,female,240932,RENT,10000,8.49,Yes
Approved,male,80145,RENT,25000,9.91,No
Approved,male,80303,RENT,25000,13.06,No
Declined,male,241048,MORTGAGE,9000,6.17,Yes
Declined,male,241424,MORTGAGE,6000,11.86,No
Declined,male,241005,RENT,18000,16.32,Yes
Declined,female,240768,MORTGAGE,12000,10.38,Yes
Declined,male,241201,MORTGAGE,23050,14.35,No
Declined,male,240920,MORTGAGE,20000,11.01,No
Approved,female,72919,RENT,25000,11.01,No
Approved,male,18008,OWN,3000,11.01,No
Approved,female,81238,RENT,25000,15.21,No
Approved,male,80868,RENT,25000,7.9,No
Approved,male,81537,RENT,25000,10.99,No
Approved,female,82741,RENT,25000,14.09,No
Approved,female,83901,RENT,25000,17.49,No
Declined,male,240717,MORTGAGE,12000,11.48,No
Approved,female,226744,MORTGAGE,20000,17.74,No
Declined,female,241114,MORTGAGE,3000,13.92,Yes
Approved,male,85284,RENT,25000,15.21,No
Approved,female,18152,OWN,4000,10.99,No
Approved,female,84871,RENT,25000,11.86,No
Approved,male,18294,OWN,6000,7.49,No
Approved,male,68029,RENT,25000,16.49,No
Approved,female,80001,RENT,25000,15.33,No
Approved,female,79875,RENT,25000,11.58,No
Approved,male,18449,OWN,5375,5.79,No
Approved,male,88153,RENT,25000,13.11,No
Approved,female,90109,RENT,25000,10.36,No
Approved,male,90938,RENT,25000,10.36,No
Declined,male,231335,RENT,22000,11.01,Yes
Declined,male,231829,MORTGAGE,20000,6.54,No
Declined,female,230516,MORTGAGE,10000,12.53,No
Declined,male,229626,MORTGAGE,15000,11.01,No
Declined,male,228907,MORTGAGE,10000,11.01,Yes
Approved,male,90938,RENT,25000,10.25,No
Approved,male,86284,RENT,25000,15.95,No
Declined,male,228774,MORTGAGE,20000,12.18,Yes
Declined,male,229027,OWN,24000,11.83,Yes
Approved,male,94789,RENT,25000,11.01,No
Approved,female,94780,RENT,25000,10.62,No
Approved,male,95298,RENT,25000,10.74,No
Declined,male,223944,OWN,10000,10.25,Yes
Declined,male,222629,MORTGAGE,35000,12.42,No
Declined,female,222973,RENT,15000,15.27,Yes
Approved,female,75240,RENT,25000,15.33,No
Approved,female,96143,RENT,25000,15.21,No
Approved,male,18064,OWN,6250,14.72,No
Approved,male,96627,RENT,25000,15.7,No
Approved,male,96309,RENT,25000,13.35,No
Declined,female,18421,MORTGAGE,1500,11.01,No
Approved,male,96836,RENT,25000,6.62,No
Approved,male,96947,RENT,25000,13.61,No
Declined,female,222975,RENT,25000,11.36,Yes
Declined,male,222985,OWN,5000,7.68,Yes
Declined,female,223064,RENT,22000,14.46,Yes
Declined,male,221559,OWN,2500,11.83,Yes
Approved,female,207712,MORTGAGE,20000,13.47,No
Declined,female,220872,MORTGAGE,20000,11.49,Yes
Declined,male,220518,MORTGAGE,1000,11.01,Yes
Declined,female,220510,MORTGAGE,15000,6.03,Yes
Approved,female,89818,RENT,25000,16.35,No
Approved,female,90006,RENT,25000,11.01,No
Approved,female,98704,RENT,25000,7.29,No
Approved,male,98967,RENT,25000,11.36,No
Declined,male,99435,RENT,25000,10.25,No
Declined,female,100658,RENT,25000,11.12,No
Declined,female,100435,RENT,25000,12.92,Yes
Declined,male,216925,RENT,18000,18.64,Yes
Declined,female,216891,MORTGAGE,28000,7.51,Yes
Approved,male,18512,OWN,4000,16.7,No
Declined,male,18367,OWN,2100,11.14,No
Declined,female,102317,RENT,25000,18.3,Yes
Declined,female,103400,RENT,25000,10.62,Yes
Declined,male,217134,MORTGAGE,14000,11.99,Yes
Declined,male,217024,MORTGAGE,12000,9.63,Yes
Approved,female,172215,MORTGAGE,10000,18.25,No
Approved,male,18831,MORTGAGE,6000,11.01,No
Declined,male,105349,RENT,25000,14.84,Yes
Approved,male,91184,RENT,25000,14.7,No
Approved,female,91886,RENT,25000,16.02,No
Approved,male,80452,RENT,25000,15.37,No
Declined,female,108758,RENT,25000,10.99,No
Approved,male,18916,OWN,6200,7.9,No
Declined,female,217234,OWN,25000,10.99,Yes
Declined,female,217017,OWN,21000,11.48,Yes
Declined,male,216874,OWN,20000,14.26,Yes
Declined,male,216833,OWN,10000,8,Yes
Declined,male,216483,MORTGAGE,9950,11.26,No
Approved,female,19000,OWN,4475,11.01,No
Approved,female,94363,RENT,25000,16.32,No
Approved,male,80570,RENT,25000,17.93,No
Declined,male,109167,RENT,25000,11.36,No
Approved,female,95753,RENT,25000,14.96,No
Declined,female,110935,RENT,25000,13.43,Yes
Declined,male,111490,RENT,25000,12.69,Yes
Declined,male,111729,RENT,25000,12.73,Yes
Declined,female,113396,RENT,25000,15.21,No
Declined,female,19175,MORTGAGE,1750,12.68,Yes
Approved,female,85787,RENT,25000,19.04,No
Approved,female,102114,RENT,25000,15.95,No
Declined,male,211005,MORTGAGE,2600,8.9,No
Declined,male,210903,MORTGAGE,8000,7.9,Yes
Declined,male,210555,MORTGAGE,18000,11.01,No
Declined,male,210937,MORTGAGE,21000,11.99,Yes
Approved,male,19062,OWN,4000,13.98,No
Approved,female,18926,OWN,4600,10.99,No
Approved,male,106694,RENT,25000,15.58,No
Approved,male,90718,RENT,25000,10.99,No
Approved,male,106668,RENT,25000,14.96,No
Declined,male,19158,OWN,1750,15.31,Yes
Approved,male,106419,RENT,25000,15.65,No
Declined,female,120696,RENT,25000,9.33,Yes
Approved,male,19065,MORTGAGE,3600,13.47,No
Declined,female,124083,RENT,25000,10.36,Yes
Approved,male,111673,RENT,25000,16.77,No
Approved,male,112633,RENT,25000,14.59,No
Declined,male,210938,RENT,3500,11.91,No
Declined,female,210720,MORTGAGE,7200,8.38,Yes
Declined,male,210705,RENT,9000,10.59,Yes
Declined,male,209997,MORTGAGE,8800,14.27,Yes
Declined,female,209873,RENT,12000,12.53,No
Approved,female,195268,MORTGAGE,25000,16,No
Declined,male,209393,MORTGAGE,10000,11.71,Yes
Approved,male,18773,OWN,3175,11.54,No
Approved,female,116439,RENT,25000,15.68,No
Declined,female,19169,MORTGAGE,1500,10.59,Yes
Approved,female,118417,RENT,25000,12.61,No
Declined,female,133476,RENT,25000,11.01,Yes
Approved,female,19312,MORTGAGE,2800,8.49,No
Approved,male,192351,RENT,30000,17.27,No
Declined,male,206648,RENT,18000,8.9,Yes
Declined,female,205046,MORTGAGE,10000,11.11,Yes
Approved,male,190735,RENT,25000,14.59,No
Declined,female,204872,RENT,13000,12.42,No
Approved,male,100758,RENT,25000,11.01,No
Declined,female,133231,RENT,25000,15.7,Yes
Approved,female,18923,OWN,2500,12.53,No
Approved,female,161894,RENT,5000,16.49,No
Declined,female,205144,MORTGAGE,20000,7.49,Yes
Approved,female,121617,RENT,25000,14.96,No
Declined,male,136206,RENT,25000,12.73,No
Declined,male,144915,RENT,25000,10.65,Yes
Declined,female,145233,RENT,25000,10.74,No
Declined,male,145002,RENT,25000,9.99,Yes
Approved,male,110953,RENT,25000,15.33,No
Declined,female,19414,OWN,1000,7.29,Yes
Approved,male,130096,RENT,25000,15.05,No
Declined,male,157292,RENT,25000,10.75,Yes
Declined,female,156995,RENT,25000,16.02,Yes
Declined,female,156952,RENT,25000,11.49,Yes
Declined,female,205005,OWN,20000,12.53,No
Declined,female,205060,MORTGAGE,12000,13.57,No
Declined,male,203782,RENT,14000,11.14,Yes
Declined,male,203368,RENT,24250,12.87,Yes
Declined,female,203403,RENT,20000,11.58,No
Declined,female,202715,RENT,1800,11.12,Yes
Declined,female,202525,MORTGAGE,35000,10.65,Yes
Declined,male,161487,RENT,25000,10.37,No
Approved,male,19677,OWN,3300,6.39,No
Declined,male,161952,RENT,25000,16.07,Yes
Declined,female,161560,RENT,25000,10.62,Yes
Approved,male,19423,OWN,3200,18.09,No
Declined,male,163134,RENT,25000,11.36,Yes
Declined,female,163683,RENT,25000,12.53,Yes
Declined,female,174972,RENT,25000,9.99,Yes
Declined,male,181016,RENT,25000,10.36,No
Declined,female,198920,MORTGAGE,9600,5.99,Yes
Approved,female,184800,MORTGAGE,24000,15.62,No
Declined,male,198862,MORTGAGE,20000,10.37,No
Declined,male,199407,MORTGAGE,25000,19.74,No
Declined,male,198803,MORTGAGE,20000,6.91,Yes
Approved,male,20044,OWN,6000,7.9,No
Declined,female,20401,MORTGAGE,2275,13.06,Yes
Declined,female,19859,OWN,2000,6.39,Yes
Approved,male,178660,RENT,25000,14.93,No
Approved,female,20421,MORTGAGE,5600,12.84,No
Approved,male,20353,OWN,3625,17.14,No
Approved,male,20297,MORTGAGE,5500,7.14,No
Declined,male,210932,RENT,25000,8.9,No
Declined,female,20405,OWN,2000,12.42,Yes
Declined,male,223194,RENT,25000,12.68,Yes
Declined,female,195560,RENT,25000,11.03,Yes
Declined,male,194140,RENT,30000,7.9,Yes
Declined,male,193337,MORTGAGE,35000,10.65,Yes
Declined,male,270992,RENT,25000,11.86,No
Approved,male,20221,OWN,5000,8.94,No
Approved,male,20678,OWN,4375,9.63,No
Approved,female,60742,RENT,24750,14.22,No
Approved,female,72805,RENT,24750,9.33,No
Declined,male,102011,RENT,24500,13.85,Yes
Declined,male,20896,MORTGAGE,2000,10.65,No
Declined,female,111283,RENT,24500,11.46,No
Declined,female,192873,MORTGAGE,35000,7.66,Yes
Declined,female,193174,MORTGAGE,12000,16.77,No
Declined,female,193249,MORTGAGE,12000,9.63,Yes
Declined,female,192954,RENT,25000,12.23,No
Approved,male,152227,MORTGAGE,10000,14.09,No
Approved,female,65399,RENT,24250,13.98,No
Approved,female,75928,RENT,24250,10.62,No
Approved,male,21627,MORTGAGE,3900,11.01,No
Approved,male,83235,RENT,24250,17.56,No
Approved,male,68297,RENT,24250,14.96,No
Approved,male,89977,RENT,24250,15.65,No
Approved,female,79510,RENT,24250,15.7,No
Declined,female,109050,RENT,24250,12.53,No
Approved,female,94635,RENT,24250,17.56,No
Declined,male,120966,RENT,24250,12.87,No
Declined,male,124437,RENT,24250,15.7,Yes
Declined,male,193147,MORTGAGE,9000,11.01,Yes
Declined,male,192914,OWN,15000,11.14,Yes
Declined,female,192806,MORTGAGE,20000,16,Yes
Declined,male,193097,MORTGAGE,25000,15.65,Yes
Declined,female,193082,MORTGAGE,13750,11.01,Yes
Declined,female,192841,MORTGAGE,15250,15.31,No
Declined,male,193300,MORTGAGE,20000,13.47,Yes
Approved,male,21205,MORTGAGE,4750,13.85,No
Declined,female,135292,RENT,24250,11.01,No
Approved,male,21363,MORTGAGE,6000,10.39,No
Declined,male,139035,RENT,24250,11.36,No
Declined,male,173511,RENT,24250,11.83,Yes
Declined,male,345520,RENT,24250,12.53,Yes
Approved,female,130762,RENT,24150,14.96,No
Approved,female,52596,RENT,24000,13.85,No
Approved,female,57326,RENT,24000,11.58,No
Approved,female,58262,RENT,24000,16.29,No
Approved,female,58620,RENT,24000,11.01,No
Approved,female,55113,RENT,24000,16.29,No
Approved,male,63361,RENT,24000,10.74,No
Declined,female,22107,MORTGAGE,2250,15.27,Yes
Approved,female,57356,RENT,24000,17.8,No
Declined,female,21790,MORTGAGE,1000,11.36,Yes
Approved,female,59680,RENT,24000,17.56,No
Approved,female,72720,RENT,24000,7.9,No
Approved,female,73024,RENT,24000,10.99,No
Approved,male,73110,RENT,24000,7.29,No
Approved,female,72902,RENT,24000,10.75,No
Approved,female,75416,RENT,24000,7.9,No
Approved,male,75959,RENT,24000,14.84,No
Approved,male,79222,RENT,24000,11.01,No
Approved,female,21824,MORTGAGE,4975,11.01,No
Approved,male,71875,RENT,24000,19.69,No
Approved,male,80313,RENT,24000,11.01,No
Approved,male,72647,RENT,24000,14.96,No
Approved,male,80492,RENT,24000,6.99,No
Approved,male,75646,RENT,24000,16.45,No
Approved,male,85223,RENT,24000,10.99,No
Approved,male,89735,RENT,24000,10.99,No
Approved,male,22364,OWN,3000,7.9,No
Approved,female,90780,RENT,24000,12.69,No
Approved,male,90889,RENT,24000,10.37,No
Approved,male,90911,RENT,24000,11.01,No
Approved,male,83953,RENT,24000,15.83,No
Approved,male,94644,RENT,24000,13.92,No
Declined,female,22616,OWN,2000,11.49,No
Declined,female,96989,RENT,24000,10.25,No
Approved,female,22867,OWN,3500,7.49,No
Approved,female,22583,OWN,4000,5.99,No
Approved,female,90900,RENT,24000,12.92,No
Declined,female,107641,RENT,24000,11.58,No
Declined,male,114870,RENT,24000,8.9,No
Approved,male,100479,RENT,24000,19.69,No
Declined,female,114958,RENT,24000,6.54,Yes
Approved,female,22882,OWN,4900,14.54,No
Approved,female,22392,OWN,5000,11.11,No
Declined,female,120498,RENT,24000,12.73,No
Declined,female,132873,RENT,24000,15.62,Yes
Approved,male,22635,OWN,6250,6.54,No
Approved,female,118299,RENT,24000,11.01,No
Approved,female,125665,RENT,24000,20,No
Declined,female,144904,RENT,24000,9.91,No
Declined,female,144882,RENT,24000,12.69,Yes
Approved,male,130649,RENT,24000,20,No
Declined,male,149622,RENT,24000,16.49,Yes
Approved,male,22957,MORTGAGE,2500,15.95,No
Declined,male,157225,RENT,24000,11.49,Yes
Declined,female,163004,RENT,24000,10.99,No
Declined,male,163035,RENT,24000,13.79,Yes
Approved,male,138731,RENT,24000,20,No
Declined,female,180804,RENT,24000,7.49,Yes
Approved,male,166378,RENT,24000,16,No
Approved,male,22684,OWN,13000,7.88,No
Approved,male,22366,OWN,6250,10.62,No
Declined,female,187161,RENT,24000,10.99,Yes
Approved,male,178439,RENT,24000,18.3,No
Declined,male,204962,RENT,24000,11.01,Yes
Declined,male,22673,OWN,2500,11.36,Yes
Approved,male,53633,RENT,23975,11.01,No
Declined,female,144983,RENT,23750,13.47,No
Approved,female,67032,RENT,23600,11.89,No
Approved,male,22664,MORTGAGE,10000,12.18,No
Declined,male,123299,RENT,23600,13.49,Yes
Approved,female,91275,RENT,23575,14.5,No
Approved,male,22564,OWN,4000,11.01,No
Approved,male,22786,OWN,5400,15.31,No
Approved,male,22450,MORTGAGE,4000,11.01,No
Approved,female,22666,OWN,3375,11.01,No
Approved,male,81701,RENT,23400,7.49,No
Approved,male,52984,RENT,23000,11.01,No
Approved,female,68579,RENT,23000,11.01,No
Approved,female,73014,RENT,23000,12.18,No
Declined,female,22608,MORTGAGE,1200,11.34,Yes
Approved,female,76932,RENT,23000,9.91,No
Approved,male,78955,RENT,23000,11.99,No
Approved,male,82567,RENT,23000,9.62,No
Approved,male,22466,OWN,3000,9.96,No
Declined,male,97251,RENT,23000,11.01,Yes
Approved,male,106607,RENT,23000,14.54,No
Approved,male,71385,RENT,22750,11.36,No
Approved,female,84865,RENT,22500,14.27,No
Approved,male,22789,OWN,3000,11.99,No
Approved,female,84801,RENT,22500,18.99,No
Approved,male,88421,RENT,22400,16.7,No
Approved,male,23071,MORTGAGE,5000,9.32,No
Approved,male,43042,RENT,22250,12.69,No
Approved,female,53119,RENT,22000,13.11,No
Approved,male,63311,RENT,22000,10.74,No
Approved,male,23597,MORTGAGE,4200,14.11,No
Approved,female,69308,RENT,22000,9.63,No
Approved,female,70598,RENT,22000,14.65,No
Approved,female,73044,RENT,22000,10.25,No
Approved,male,73043,RENT,22000,14.26,No
Approved,female,23627,MORTGAGE,3000,9.91,No
Approved,male,68198,RENT,22000,17.19,No
Approved,female,85089,RENT,22000,11.36,No
Approved,female,80358,RENT,22000,11.01,No
Declined,female,90025,RENT,22000,10.59,Yes
Declined,female,93232,RENT,22000,9.25,No
Approved,female,23497,OWN,3625,8.49,No
Declined,male,93314,RENT,22000,6.54,No
Approved,female,23543,OWN,6000,8.49,No
Declined,male,97038,RENT,22000,11.01,Yes
Declined,female,100246,RENT,22000,12.69,Yes
Approved,female,23667,OWN,7400,13.85,No
Approved,male,23719,OWN,4000,7.4,No
Declined,male,101575,RENT,22000,11.71,No
Approved,female,94168,RENT,22000,11.48,No
Approved,male,99394,RENT,22000,17.51,No
Approved,male,23504,MORTGAGE,3500,14.61,No
Declined,male,120500,RENT,22000,7.88,No
Declined,female,133195,RENT,22000,11.01,Yes
Approved,male,24148,MORTGAGE,4950,11.71,No
Approved,male,69353,RENT,21700,11.99,No
Approved,male,65946,RENT,21600,13.49,No
Approved,female,68677,RENT,21600,20,No
Approved,female,76687,RENT,21600,14.35,No
Declined,female,99087,RENT,21600,13.61,No
Approved,male,94523,RENT,21600,11.26,No
Declined,female,24092,OWN,2400,10.59,No
Declined,female,135365,RENT,21600,7.9,No
Approved,male,24420,MORTGAGE,7000,5.99,No
Approved,male,23948,OWN,3000,11.99,No
Approved,female,71718,RENT,21500,16.89,No
Approved,female,84999,RENT,21500,9.99,No
Declined,female,140396,RENT,21500,15.33,Yes
Approved,male,73404,RENT,21450,7.29,No
Approved,male,38473,RENT,21250,12.42,No
Approved,male,57546,RENT,21250,10.99,No
Approved,male,62422,RENT,21250,6.91,No
Approved,male,23993,MORTGAGE,5000,14.17,No
Approved,male,64732,RENT,21250,10.25,No
Approved,male,23955,OWN,9250,11.01,No
Approved,male,68154,RENT,21250,15.95,No
Approved,female,79138,RENT,21250,15.95,No
Approved,male,42536,RENT,21000,12.53,No
Approved,male,23888,MORTGAGE,1400,14.91,No
Approved,male,24013,MORTGAGE,3000,11.01,No
Approved,female,48929,RENT,21000,6.54,No
Declined,female,24121,OWN,1000,11.01,Yes
Approved,male,51379,RENT,21000,17.26,No
Approved,male,76364,RENT,21000,11.36,No
Approved,male,24297,MORTGAGE,4000,7.51,No
Approved,female,71599,RENT,21000,10.71,No
Declined,male,85496,RENT,21000,13.98,Yes
Approved,female,79163,RENT,21000,14.09,No
Declined,male,90944,RENT,21000,10,Yes
Approved,female,23973,MORTGAGE,5000,15.33,No
Approved,female,75181,RENT,21000,16.32,No
Declined,female,95767,RENT,21000,7.9,No
Declined,female,96788,RENT,21000,11.99,Yes
Declined,male,101708,RENT,21000,10.75,No
Declined,male,103023,RENT,21000,13.92,Yes
Declined,male,113027,RENT,21000,9.91,No
Approved,female,98366,RENT,21000,16.95,No
Declined,male,117668,RENT,21000,7.9,Yes
Declined,male,117297,RENT,21000,11.01,Yes
Approved,female,120885,RENT,21000,16.49,No
Approved,female,24183,OTHER,7500,11.97,No
Approved,male,23664,MORTGAGE,6250,6.17,No
Declined,male,150692,RENT,21000,8.9,No
Declined,female,151100,RENT,21000,12.99,Yes
Declined,male,99197,RENT,20900,12.69,No
Approved,female,24468,MORTGAGE,15000,9.64,No
Approved,female,61015,RENT,20500,7.49,No
Declined,male,84845,RENT,20500,13.16,No
Declined,female,24872,OWN,2100,8.38,Yes
Declined,female,97140,RENT,20400,10.25,Yes
Approved,male,65613,RENT,20375,7.49,No
Approved,male,32325,RENT,20050,9.76,No
Approved,female,40881,RENT,20000,10.99,No
Declined,male,24766,OWN,5000,11.71,No
Declined,female,24995,OWN,9250,10.65,Yes
Approved,male,43287,RENT,20000,12.53,No
Approved,male,46375,RENT,20000,14.59,No
Approved,female,39416,RENT,20000,12.61,No
Approved,male,46636,RENT,20000,13.11,No
Declined,male,25168,MORTGAGE,6400,10.65,No
Approved,male,47473,RENT,20000,11.22,No
Approved,female,40632,RENT,20000,16,No
Approved,female,41468,RENT,20000,8.88,No
Approved,male,48897,RENT,20000,12.53,No
Approved,male,44226,RENT,20000,11.01,No
Declined,male,25012,MORTGAGE,4800,5.99,Yes
Approved,male,51210,RENT,20000,13.47,No
Approved,male,51305,RENT,20000,6.99,No
Declined,male,25295,OWN,5650,15.99,Yes
